Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
00813;FILME GOIABA PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00814;FILME GRAVIOLA PETRUZ 100G;KG;EMBALAGEM;;;;;;
00815;FILME GRAVIOLA PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00816;FILME LISO LEITOSO 5KG;KG;EMBALAGEM;;;;;;
00817;FILME LISO TRANSPARENTE 100G;KG;EMBALAGEM;;;;;;
00818;FILME LISO TRANSPARENTE 1KG;KG;EMBALAGEM;;;;;;
00819;FILME LISO TRANSPARENTE 5KG;KG;EMBALAGEM;;;;;;
00820;FILME MANGA PETRUZ 100G;KG;EMBALAGEM;;;;;;
00821;FILME MANGA PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00822;FILME MARACUJA PETRUZ 100G;KG;EMBALAGEM;;;;;;
00823;FILME MARACUJA PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00824;FILME MORANGO PETRUZ 100G;KG;EMBALAGEM;;;;;;
00825;FILME MORANGO PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00826;FILME MURUCI PETRUZ 100G;KG;EMBALAGEM;;;;;;
00827;FILME MURUCI PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00828;FILME STRETCH S TUBETE 500 X 2MM;KG;EMBALAGEM;;;;;;
00829;FILME TAPEREBA PETRUZ 100G;KG;EMBALAGEM;;;;;;
00830;FILME TAPEREBA PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00832;FITA ADESIVA PERSONALIZADA 48 X 1200 MM;CX;EMBALAGEM;;;;;;
00834;FITA DATADORA BRANCA;CX;EMBALAGEM;;;;;;
00835;FITA DATADORA PRETA F2;CX;EMBALAGEM;;;;;;
00836;FIVELA SUPERCINTA 13 MM;CX;EMBALAGEM;;;;;;
00837;FIVELA SUPERCINTA 19 MM;CX;EMBALAGEM;;;;;;
00839;FRASCO BRANCO LEITOSO TAMPA 250ML;CX;EMBALAGEM;;;;;;
00840;FRASCO TRANSPARENTE TAMPA 200ML;UN;EMBALAGEM;;;;;;
00841;LACRE AZUL 40CM;UN;EMBALAGEM;;;;;;
00842;LINHA BRANCA COSTURA;CX;EMBALAGEM;;;;;;
00844;PALETE FUMIGADO 0,90 X 1,20 X 0,14 M;UN;EMBALAGEM;;;;;;
00851;PALETE FUMIGADO 1,24 X 0,975 X 0,14 M;UN;EMBALAGEM;;;;;;
00854;PAZINHA ARREDONDADA COLORIDA;CX;EMBALAGEM;;;;;;
00856;PLASTICO BOLHA;M;EMBALAGEM;;;;;;
00867;POTE ACAI PETRUZ BANANA TAMPA 500G;UN;EMBALAGEM;;;;;;
00868;POTE ACAI PETRUZ GUARANA 200G;CX;EMBALAGEM;;;;;;
00870;POTE ACAI PETRUZ MORANGO 200G;CX;EMBALAGEM;;;;;;
00871;POTE ACAI PETRUZ MORANGO TAMPA 500G;CX;EMBALAGEM;;;;;;
00872;POTE ACAI PETRUZ SORVETE TAMPA 1L;CX;EMBALAGEM;;;;;;
00873;POTE ACAI PETRUZ SORVETE TAMPA 2L;CX;EMBALAGEM;;;;;;
00874;POTE ACAI PETRUZ SORVETE TAMPA 7L;CX;EMBALAGEM;;;;;;
00887;SACO ACAI AMAZON PLANET PURE ZIP 180 X 230 X 0,15 MM 400G;UN;EMBALAGEM;;;;;;
00889;SACO ACAI AMAZONIA PTY PURE ZIP 180 X 230 X 0,15 MM 400G;CX;EMBALAGEM;;;;;;
00891;SACO ACAI PETRUZ ESPECIAL 400G;UN;EMBALAGEM;;;;;;
00892;SACO ACAI PETRUZ MEDIO 400G;CX;EMBALAGEM;;;;;;
00893;SACO ACAI PETRUZ POPULAR 400G;CX;EMBALAGEM;;;;;;
00894;SACO ACAI ROOTS GUARANA 400G;CX;EMBALAGEM;;;;;;
00895;SACO ACAI ROOTS PURE 400G;CX;EMBALAGEM;;;;;;
00896;SACO ACAI SAO PEDRO ESPECIAL 400G;CX;EMBALAGEM;;;;;;
00897;SACO ACAI SAO PEDRO MEDIO 400G;CX;EMBALAGEM;;;;;;
00898;SACO ACAI SAO PEDRO POPULAR 400G;CX;EMBALAGEM;;;;;;
00900;SACO ACAI TAMBOR ACAI PURE ZIP 180 X 230 X 0,15 MM 400G;CX;EMBALAGEM;;;;;;
00901;SACO ACAI TROPICAL MARIA ASC 180 X 230 X 0,15 MM 500G;CX;EMBALAGEM;;;;;;
00903;SACO BAG 85 X 185 CM;CX;EMBALAGEM;;;;;;
00904;SACO LISO TRANSPARENTE BALDE 500 X 800 X 1,2 MM 22L;UN;EMBALAGEM;;;;;;
00909;SACO LISO LEITOSO FORRO 700 X 1000 X 0,5 MM 40L;CX;EMBALAGEM;;;;;;
00911;SACO LISO OLE TRANSPARENTE 155 X 270 X 1,2 MM 500G;UN;EMBALAGEM;;;;;;
00913;SACO LISO TRANSPARENTE 100 X 170 X 0,12 TAMBOR;UN;EMBALAGEM;;;;;;
00914;SACO RAFIA S IMPRESSAO 650 X 900 MM 40KG;UN;EMBALAGEM;;;;;;
00915;SACO LISO TRANSPARENTE 180 X 210 X 1,2 MM 400G;UN;EMBALAGEM;;;;;;
00916;SACO TARJA BRANCA 190 X 220 X 1,2 MM 500G;UN;EMBALAGEM;;;;;;
00917;SACO LISO TRANSPARENTE 300 X 400 X 1,2 MM BALDE 2,9L;UN;EMBALAGEM;;;;;;
00918;SACO LISO TRANSPARENTE 380 X 450 X 0,7 MM 5L;UN;EMBALAGEM;;;;;;
00920;SELO ALUMINIO ACAI PETRUZ 88 MM;CX;EMBALAGEM;;;;;;
00921;SACO LISO TRANSPARENTE 450 X 550 X 0,7 MM 10L;UN;EMBALAGEM;;;;;;
00922;SELO ALUMINIO ACAI PETRUZ 92 MM;CX;EMBALAGEM;;;;;;
00926;SOBRE COPO ACAI PETRUZ 200G;CX;EMBALAGEM;;;;;;
00928;SUPERCINTA 13 MM ROLO 1000M;CX;EMBALAGEM;;;;;;
00929;SACO RAFIA ACAI POLYFRUTTI 650 X 900 MM 40KG;FD;EMBALAGEM;;;;;;
00930;SUPERCINTA 19 MM ROLO 750M;CX;EMBALAGEM;;;;;;
00931;SACO RAFIA ACAI SAO PEDRO 550 X 650 MM 20KG;UN;EMBALAGEM;;;;;;
00932;TAMBOR 210L;UN;EMBALAGEM;;;;;;
00934;TAMBOR REFORMADO 210L;UN;EMBALAGEM;;;;;;
00941;GLICOSE PETRUZ CONVENCIONAL TB;KG;SEMI ELABORADO;;;;;;
00942;GLICOSE PETRUZ ORGANICO TB;KG;SEMI ELABORADO;;;;;;
00943;XAROPE GUARANA PETRUZ ORGANICO TB;KG;SEMI ELABORADO;;;;;;
00944;XAROPE GUARANA PETRUZ CONVENCIONAL TB;KG;SEMI ELABORADO;;;;;;
00949;GOMA XANTANA;KG;INSUMOS DIRETOS;;;;;;
00962;BASE PADRAO CONVENCIONAL PETRUZ TB;KG;SEMI ELABORADO;;;;;;
00966;BASE ACAI A3 PETRUZ TB;KG;SEMI ELABORADO;;;;;;
00978;COPO DESCARTAVEL 180ML;PCT;COPA COZINHA;;;;;;
00979;COLHER DESCARTAVEL;PCT;COPA COZINHA;;;;;;
00980;COPO DESCARTAVEL 50ML;PCT;COPA COZINHA;;;;;;
00999;ALMOFADA CARIMBO;UN;MATERIAL EXPEDIENTE;;;;;;
01003;BANDEJA ACRILICA 2 ANDARES;UN;MATERIAL EXPEDIENTE;;;;;;
01005;BATERIA 9V;UN;MATERIAL USO CONSUMO;;;;;;
01007;BLOCO CONTROLE VIAGEM;UN;MATERIAL EXPEDIENTE;;;;;;
01008;GRAFITE N 7;UN;MATERIAL EXPEDIENTE;;;;;;
01009;GRAFITE N 9;UN;MATERIAL EXPEDIENTE;;;;;;
01011;GRAMPEADOR;UN;MATERIAL EXPEDIENTE;;;;;;
01013;GRAMPO MACHO FEMEA;UN;MATERIAL EXPEDIENTE;;;;;;
01014;BLOCO RECEBIMENTO ACAI 2 VIAS;UN;MATERIAL EXPEDIENTE;;;;;;
01015;LAMINA ESTILETE;UN;MATERIAL EXPEDIENTE;;;;;;
01016;BLOCO RECEBIMENTO FRUTA 2 VIAS;UN;MATERIAL EXPEDIENTE;;;;;;
01022;LAPISEIRA N 7;UN;MATERIAL EXPEDIENTE;;;;;;
01025;LIGA ELASTICA;PC;MATERIAL EXPEDIENTE;;;;;;
01027;LIVRO ATA 200 FLS;UN;MATERIAL EXPEDIENTE;;;;;;
01028;BOBINA MAQUINA CALCULAR 1 VIA;UN;MATERIAL EXPEDIENTE;;;;;;
01029;LIVRO DE OCORRENCIA;UN;MATERIAL EXPEDIENTE;;;;;;
01030;LIVRO DE PROTOCOLO;UN;MATERIAL EXPEDIENTE;;;;;;
01031;BOBINA IMPRESSORA TERMICA DARUNA DR800/DR700 80X40.;UN;MATERIAL EXPEDIENTE;;;;;;
01032;MARCA TEXTO;UN;MATERIAL EXPEDIENTE;;;;;;
01033;MARCADOR PRETO QUADRO BRANCO;UN;MATERIAL EXPEDIENTE;;;;;;
01034;BOBINA RELOGIO PONTO;UN;MATERIAL EXPEDIENTE;;;;;;
01035;PAPEL CARBONO;UN;MATERIAL EXPEDIENTE;;;;;;
01036;PAPEL A4;PCT;MATERIAL EXPEDIENTE;;;;;;
01037;PASTA AZ GRANDE;UN;MATERIAL EXPEDIENTE;;;;;;
01039;PASTA AZ PEQUENA;UN;MATERIAL EXPEDIENTE;;;;;;
01042;CADERNO GRANDE;UN;MATERIAL EXPEDIENTE;;;;;;
01043;PASTA CATALAGO 50 FOLHAS;UN;MATERIAL EXPEDIENTE;;;;;;
01044;CADERNO PEQUENO 96 FOLHAS;UN;MATERIAL EXPEDIENTE;;;;;;
01045;CAIXA ARQUIVO;UN;MATERIAL EXPEDIENTE;;;;;;
01046;CALCULADORA MEDIA;UN;MATERIAL EXPEDIENTE;;;;;;
01047;CANETA AZUL;UN;MATERIAL EXPEDIENTE;;;;;;
01052;CLIPES N 4;CX;MATERIAL EXPEDIENTE;;;;;;
01053;CLIPES N 6;CX;MATERIAL EXPEDIENTE;;;;;;
01054;CLIPES N 3;CX;MATERIAL EXPEDIENTE;;;;;;
01057;PASTA PAPELAO ELASTICO;UN;MATERIAL EXPEDIENTE;;;;;;
01059;PASTA PLASTICA;UN;MATERIAL EXPEDIENTE;;;;;;
01062;ENVELOPE AMARELO MEDIO;CX;MATERIAL EXPEDIENTE;;;;;;
01064;ENVELOPE TIMBRADO A4;CX;MATERIAL EXPEDIENTE;;;;;;
01065;ENVELOPE TIMBRADO MEDIO;CX;MATERIAL EXPEDIENTE;;;;;;
01066;ENVELOPE CARTA TIMBRADO;CX;MATERIAL EXPEDIENTE;;;;;;
01067;ESTILETE;CX;MATERIAL EXPEDIENTE;;;;;;
01068;EXTRATOR GRAMPO;CX;MATERIAL EXPEDIENTE;;;;;;
01069;PASTA SANFONADA 30 DIVISORIAS;CX;MATERIAL EXPEDIENTE;;;;;;
01072;PILHA AAA;CX;MATERIAL USO CONSUMO;;;;;;
01073;PILHA AA;CX;MATERIAL USO CONSUMO;;;;;;
01074;PINCEL ATOMICO AZUL;CX;MATERIAL EXPEDIENTE;;;;;;
01078;PRANCHETA ACRILICA;UN;MATERIAL EXPEDIENTE;;;;;;
01083;ROLETE CALCULADORA;CX;MATERIAL EXPEDIENTE;;;;;;
01084;TAXINHA QUADRO AVISO;CX;MATERIAL EXPEDIENTE;;;;;;
01085;TESOURA MEDIA;CX;MATERIAL EXPEDIENTE;;;;;;
01086;TINTA MARCADOR AZUL;CX;MATERIAL EXPEDIENTE;;;;;;
01090;ABRACADEIRA ACO INOX 38,51MM;UN;MATERIAL MANUTENCAO;;;;;;
01094;ABRACADEIRA ACO INOX 70,89MM;UN;MATERIAL MANUTENCAO;;;;;;
01095;ABRACADEIRA ACO CARBONO 9,13 9MM;UN;MATERIAL MANUTENCAO;;;;;;
01096;JOELHO PVC ESGOTO 45º 75MM;UN;MATERIAL MANUTENCAO;;;;;;
01098;"ABRACADEIRA TIPO D CHAVETA 2""";UN;MATERIAL MANUTENCAO;;;;;;
01099;"ABRACADEIRA TIPO D CHAVETA 2 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01100;"ABRACADEIRA TIPO D CHAVETA 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
01101;JOELHO PVC ESGOTO 90º 100MM;UN;MATERIAL MANUTENCAO;;;;;;
01102;"ABRACADEIRA TIPO U 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01108;"JOELHO GALVANIZADO 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
01109;"JOELHO PVC ROSCAVEL 90º 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
01110;"JOELHO PVC ROSCAVEL 45º 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01111;"JOELHO PVC ROSCAVEL 90º 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
01114;JOELHO PVC SOLDAVEL 90º 25MM;UN;MATERIAL MANUTENCAO;;;;;;
01115;"ABRACADEIRA TIPO U 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
01119;JOELHO PVC SOLDAVEL 90º 110MM;UN;MATERIAL MANUTENCAO;;;;;;
01122;JOGO FACA MAQUINA TROPICAL MIX 600;UN;MATERIAL MANUTENCAO;;;;;;
01123;KIT LIXA TUDO;UN;MATERIAL MANUTENCAO;;;;;;
01125;"ADAPTADOR SOLDAVEL BOLSA ROSCA 25MM X 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
01128;KIT REPARO CILINDRO MICRO CP10D32;UN;MATERIAL MANUTENCAO;;;;;;
01130;KIT REPARO CILINDRO MICRO CP10D63;UN;MATERIAL MANUTENCAO;;;;;;
01131;ADESIVO EPOX SIKADUR 32;UN;MATERIAL MANUTENCAO;;;;;;
01132;AGULHA MAQUINA COSTURA WAIG N 25;UN;MATERIAL USO CONSUMO;;;;;;
01133;KIT TINTA EPOXI BRANCO;UN;MATERIAL MANUTENCAO;;;;;;
01143;ALICATE PRESSAO;UN;MATERIAL MANUTENCAO;;;;;;
01144;LAMPADA FLUORESCENTE TUBOLAR LUZ NEGRA 15W;UN;MATERIAL MANUTENCAO;;;;;;
01145;ALICATE UNIVERSAL;UN;MATERIAL MANUTENCAO;;;;;;
01146;LAMPADA FLUORESCENTE TUBOLAR PLUS 20W;UN;MATERIAL MANUTENCAO;;;;;;
01148;LAMPADA FLUORESCENTE TUBOLAR GERMICIDA 15W;UN;MATERIAL MANUTENCAO;;;;;;
01153;ANEL PISTAO MAQUINA TROPICAL MIX 600;UN;MATERIAL MANUTENCAO;;;;;;
01154;ANEL VEDACAO 1 SMS;UN;MATERIAL MANUTENCAO;;;;;;
01155;ANEL VEDACAO TC 2;UN;MATERIAL MANUTENCAO;;;;;;
01156;ANEL VEDACAO 3 SMS;UN;MATERIAL MANUTENCAO;;;;;;
01157;ANEL VEDACAO SMS;UN;MATERIAL MANUTENCAO;;;;;;
01166;LAMPADA VAPOR METALICO 150W 220V E40;UN;MATERIAL MANUTENCAO;;;;;;
01169;"ANEL VEDACAO BRANCO 1""";UN;MATERIAL MANUTENCAO;;;;;;
01170;"ANEL VEDACAO SMS 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01171;ANEL VEDACAO TC 1;UN;MATERIAL MANUTENCAO;;;;;;
01172;"ANEL VEDACAO TC 1 1 4""";UN;MATERIAL MANUTENCAO;;;;;;
01173;LENTE TRANSPARENTE VIDRO MASCARA SOLDA;UN;MATERIAL MANUTENCAO;;;;;;
01175;LIMPA CONTATO;UN;MATERIAL MANUTENCAO;;;;;;
01176;ANTI DESLIZANTE CORREIAS 220ML;UN;MATERIAL MANUTENCAO;;;;;;
01177;LIXA DAGUA 120MM;UN;MATERIAL MANUTENCAO;;;;;;
01178;LIXA MADEIRA 100MM;UN;MATERIAL MANUTENCAO;;;;;;
01179;APERTO DA RESISTENCIA;UN;MATERIAL MANUTENCAO;;;;;;
01180;ARAME RECUZIDO;KG;MATERIAL MANUTENCAO;;;;;;
01185;LUMINARIA BLINDADA PEND E-40;UN;MATERIAL MANUTENCAO;;;;;;
01193;LUVA SOLDAVEL 50MM;UN;MATERIAL MANUTENCAO;;;;;;
01194;"LUVA ELETRODUTO PVC 1""";UN;MATERIAL MANUTENCAO;;;;;;
01195;"LUVA ELETRODUTO PVC 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01197;"LUVA ELETRODUTO PVC 2""";UN;MATERIAL MANUTENCAO;;;;;;
01198;"LUVA ELETRODUTO PVC 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01207;"LUVA ROSCAVEL 1 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
01210;BOBINA SOLENOIDE 24V;UN;MATERIAL MANUTENCAO;;;;;;
01212;BOBINA VALVULA SOLENOIDE 220V K04/10;UN;MATERIAL MANUTENCAO;;;;;;
01215;BOCAL PORCELANA E40;UN;MATERIAL MANUTENCAO;;;;;;
01222;MANGUEIRA AR COMPRIMIDO 5/16 BAR 300PSI;MT;MATERIAL MANUTENCAO;;;;;;
01223;BORRACHA ALIMENTICIA N 5MM;MT;MATERIAL MANUTENCAO;;;;;;
01224;MANGUEIRA CONDUCAO AGUA PVC 50MM X 2;MT;MATERIAL MANUTENCAO;;;;;;
01227;MANGUEIRA ESPIRAL 8M;MT;MATERIAL MANUTENCAO;;;;;;
01229;MANGUEIRA PUN 10 X 1,5;MT;MATERIAL MANUTENCAO;;;;;;
01230;MANGUEIRA PUN 8 X 1,25;MT;MATERIAL MANUTENCAO;;;;;;
01232;MANGUEIRA PUN 6 X 1,0;MT;MATERIAL MANUTENCAO;;;;;;
01234;MANTA TEFLON SEM COLA - DESATIVADO;M;MATERIAL MANUTENCAO;;;;;;
01236;BROCA ACO 3/4MM;UN;MATERIAL MANUTENCAO;;;;;;
01238;MASSA ACRILICA 3,6L;UN;MATERIAL MANUTENCAO;;;;;;
01239;BROCA ACO 7/8;UN;MATERIAL MANUTENCAO;;;;;;
01240;MASSA CORRIDA PVA 18L;UN;MATERIAL CONSTRUCAO;;;;;;
01245;BUCHA METALICA AUTO EXPANSIVA;UN;MATERIAL MANUTENCAO;;;;;;
01246;BUCHA NYLON 8MM;UN;MATERIAL MANUTENCAO;;;;;;
01247;BUCHA PASSAGEM 15KV 400A;UN;MATERIAL MANUTENCAO;;;;;;
01248;BUCHA REDUCAO CURTA PVC 32 X 25MM;UN;MATERIAL MANUTENCAO;;;;;;
01254;MOLA IMPULSORA FB006C-RPA/RPB;UN;MATERIAL MANUTENCAO;;;;;;
01255;BUCHA ROSCA DIREITA;UN;MATERIAL MANUTENCAO;;;;;;
01261;CABO CONECTOR FEMEA 4 VIAS 90 SENSOR;MT;MATERIAL MANUTENCAO;;;;;;
01262;CABO CONECTOR FEMEA 4 VIAS RETO SENSOR;MT;MATERIAL MANUTENCAO;;;;;;
01267;CABO PP 4 X 2,5MM;UN;MATERIAL MANUTENCAO;;;;;;
01269;"NIPEL PVC 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01270;"NIPEL PVC 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
01274;NUCLEO FILTRANTE DANFOSS DCR48DC;UN;MATERIAL MANUTENCAO;;;;;;
01276;OLEO ALIMENTICIO PNEUMATICO WURTH S10 500ML;UN;COMBUST E LUBRIFICAN;;;;;;
01281;"PAPELAO GRAFITADO 3/16""";UN;MATERIAL MANUTENCAO;;;;;;
01283;PARAFUSO ALLEN INOX M10 X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
01287;PARAFUSO SEXTAVADO ROSCA SORBEBA N 8;UN;MATERIAL MANUTENCAO;;;;;;
01290;"PARAFUSO SEXTAVADO INOX 1/4""";UN;MATERIAL MANUTENCAO;;;;;;
01292;PARAFUSO SEXTAVADO M6 X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
01293;PARAFUSO SEXTAVADO M6 X 30MM;UN;MATERIAL MANUTENCAO;;;;;;
01294;PARAFUSO SEXTAVADO M8 X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
01295;PARAFUSO SEXTAVADO M8 X 30MM;UN;MATERIAL MANUTENCAO;;;;;;
01303;"PINCEL 2""";UN;MATERIAL MANUTENCAO;;;;;;
01305;"PINCEL 3""";UN;MATERIAL MANUTENCAO;;;;;;
01307;PINO ELASTICO 5,5 X 36MM;UN;MATERIAL MANUTENCAO;;;;;;
01312;PISTAO NYLON MAQUINA TROPICAL MIX;UN;MATERIAL MANUTENCAO;;;;;;
01314;PLACA ELETRONICA SELADORA JCV XVL 2582;UN;MATERIAL MANUTENCAO;;;;;;
01316;CACHIMBO BOBINA SOLENOIDE;UN;MATERIAL MANUTENCAO;;;;;;
01318;PLUMO;UN;MATERIAL MANUTENCAO;;;;;;
01319;POLIA ALUMINIO A150;UN;MATERIAL MANUTENCAO;;;;;;
01320;POLIA ALUMINO B400;UN;MATERIAL MANUTENCAO;;;;;;
01321;POLIA FERRO FUNDIDO 4B 80;UN;MATERIAL MANUTENCAO;;;;;;
01322;POLIA FERRO FUNDIDO 2B 80;UN;MATERIAL MANUTENCAO;;;;;;
01325;PORCA CASTELO PORTA CAMARA FRIA 30050;UN;MATERIAL MANUTENCAO;;;;;;
01326;"PORCA SEXTAVADA INOX 7/8""";UN;MATERIAL MANUTENCAO;;;;;;
01331;PRESSOSTATO DIFERENCIAL OLEO ELETRONICO BITZER;UN;MATERIAL MANUTENCAO;;;;;;
01335;PUXADOR GAVETA - DESATIVADO;UN;MATERIAL MANUTENCAO;;;;;;
01337;PUXADOR INTERNO TIPO CONCHA PORTA CAMARA FRIA;UN;MATERIAL MANUTENCAO;;;;;;
01340;REATOR DUPLO BIVOLT 127V 220V X 20W;UN;MATERIAL MANUTENCAO;;;;;;
01342;REATOR SIMPLES LAMPADA BIVOLT 20W;UN;MATERIAL MANUTENCAO;;;;;;
01343;REATOR SIMPLES LAMPADA DE MERCURIO 80W 220V;UN;MATERIAL MANUTENCAO;;;;;;
01345;REATOR SIMPLES LAMPADA FLUORESCENTE 127V;UN;MATERIAL MANUTENCAO;;;;;;
01346;REATOR VAPOR METALICO 220V X 250W;UN;MATERIAL MANUTENCAO;;;;;;
01349;REBITE 4 X 16;UN;MATERIAL MANUTENCAO;;;;;;
01351;CAIXA RALO 10 X 10CM;UN;MATERIAL MANUTENCAO;;;;;;
01354;REDUCAO ESGOTO EXCENTRICA 100 X 50MM;UN;MATERIAL MANUTENCAO;;;;;;
01360;REDUCAO ESGOTO 50 X 40MM;UN;MATERIAL MANUTENCAO;;;;;;
01361;CAIXA SIFONADA 100 X 100 X 50MM;UN;MATERIAL MANUTENCAO;;;;;;
01365;REFIL ROLO ESPONJA 23CM;UN;MATERIAL MANUTENCAO;;;;;;
01366;ROLO LA EPOXI 23CM;UN;MATERIAL MANUTENCAO;;;;;;
01372;CALCO PRESSAO GUIA INFERIOR CAMARA FRIA;UN;MATERIAL MANUTENCAO;;;;;;
01374;REGISTRO ESFERA PVC 75MM;UN;MATERIAL MANUTENCAO;;;;;;
01381;CALHA LAMPADA FREEZER FRICON;UN;MATERIAL MANUTENCAO;;;;;;
01382;REGULADOR FLUXO 1/4-B;UN;MATERIAL MANUTENCAO;;;;;;
01386;CAP ESGOTO PVC 100MM;UN;MATERIAL MANUTENCAO;;;;;;
01387;CAP PVC 75MM;UN;MATERIAL MANUTENCAO;;;;;;
01388;"CAP PVC ROSCAVEL 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
01389;CAP SOLDAVEL 20MM;UN;MATERIAL MANUTENCAO;;;;;;
01393;REGULADOR FLUXO ROSCA M5;UN;MATERIAL MANUTENCAO;;;;;;
01395;REGULADOR FLUXO ROSCA 1/4 TUBO 8MM;UN;MATERIAL MANUTENCAO;;;;;;
01396;REGULADOR FLUXO ROSCA 1/8 TUBO 6MM;UN;MATERIAL MANUTENCAO;;;;;;
01398;RELE ELETRONICO RTW-REO-U010;UN;MATERIAL MANUTENCAO;;;;;;
01400;CARVAO SELADORA;UN;MATERIAL MANUTENCAO;;;;;;
01401;RELE ESTADO SOLIDO MONOFASICO 10A;UN;MATERIAL MANUTENCAO;;;;;;
01402;RELE ESTADO SOLIDO TRIFASICO T38D2524V;UN;MATERIAL MANUTENCAO;;;;;;
01405;RELE ESTADO SOLIDO MONOFASICO 25A;UN;MATERIAL MANUTENCAO;;;;;;
01407;RELE MECANICO METALTEX;UN;MATERIAL MANUTENCAO;;;;;;
01409;CHAVE COMBINADA 10MM;UN;MATERIAL MANUTENCAO;;;;;;
01411;CHAVE COMBINADA 14MM;UN;MATERIAL MANUTENCAO;;;;;;
01412;CHAVE COMBINADA 13MM;UN;MATERIAL MANUTENCAO;;;;;;
01414;CHAVE COMBINADA 15MM;UN;MATERIAL MANUTENCAO;;;;;;
01415;CHAVE COMBINADA 8MM;UN;MATERIAL MANUTENCAO;;;;;;
01416;CHAVE COMBINADA 9MM;UN;MATERIAL MANUTENCAO;;;;;;
01419;CILINDRO ESPECIAL BSNU 20 30 PA;UN;MATERIAL MANUTENCAO;;;;;;
01420;RELE NIVEL;UN;MATERIAL MANUTENCAO;;;;;;
01421;CILINDRO ESPECIAL DSNU 20 25 PA;UN;MATERIAL MANUTENCAO;;;;;;
01425;REPARO CILINDRO DNC 63;UN;MATERIAL MANUTENCAO;;;;;;
01426;REPARO CILINDRO DNC100;UN;MATERIAL MANUTENCAO;;;;;;
01428;REPARO CILINDRO DNC50;UN;MATERIAL MANUTENCAO;;;;;;
01430;"REPARO ELETROVALVULA 5 X 1/8""";UN;MATERIAL MANUTENCAO;;;;;;
01432;RESISTENCIA DATADOR 220V 60W;UN;MATERIAL MANUTENCAO;;;;;;
01433;RESISTENCIA DINAMITE;UN;MATERIAL MANUTENCAO;;;;;;
01435;RESISTENCIA HORIZONTAL EXIMAQ 100G;UN;MATERIAL MANUTENCAO;;;;;;
01436;RESISTENCIA EXTERNA DBF 900LW;UN;MATERIAL MANUTENCAO;;;;;;
01441;RESISTENCIA TIPO COLEIRA MAQUINA MIX;UN;MATERIAL MANUTENCAO;;;;;;
01444;RETENTOR 04509 39,4 X 80,2 X 6.4/ 11-8;UN;MATERIAL MANUTENCAO;;;;;;
01445;RETENTOR ARCA 5009 38 X 52,25 X 7;UN;MATERIAL MANUTENCAO;;;;;;
01448;RETENTOR ARCA 7175 40 X 55 X 8;UN;MATERIAL MANUTENCAO;;;;;;
01451;COMPRESSOR SANIO CSB373;UN;MATERIAL MANUTENCAO;;;;;;
01452;RETENTOR ARCA 7674 30 X 42 X 10;UN;MATERIAL MANUTENCAO;;;;;;
01454;RODA POLI MAQUINA JVC;UN;MATERIAL MANUTENCAO;;;;;;
01457;RODIZIO EMPILHADEIRA ELETRICA;UN;MATERIAL MANUTENCAO;;;;;;
01459;RODIZIO GL312 SCHIOPPA;UN;MATERIAL MANUTENCAO;;;;;;
01461;RODIZIO RODAS SILICONE;UN;MATERIAL MANUTENCAO;;;;;;
01462;CONE APERTO ROSCA DIREITA BOBINA;UN;MATERIAL MANUTENCAO;;;;;;
01463;RODIZIO SGPL 412;UN;MATERIAL MANUTENCAO;;;;;;
01465;ROLAMENTO 6204 ZZ;UN;MATERIAL MANUTENCAO;;;;;;
01466;ROLAMENTO 6209-2Z 45 X 85 X 19;UN;MATERIAL MANUTENCAO;;;;;;
01467;"CONECTOR MANGUEIRA TIPO ESPIGAO 1 1/2""";UN;MATERIAL MANUTENCAO;;;;;;
01468;ROLAMENTO CRB 629;UN;MATERIAL MANUTENCAO;;;;;;
01469;"CONECTOR MANGUEIRA TIPO ESPIGAO 2""";UN;MATERIAL MANUTENCAO;;;;;;
01470;ROLAMENTO ANTIGIRO DATADOR;UN;MATERIAL MANUTENCAO;;;;;;
