Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
00801;FILME ACAI TROPNAT POPULAR 1,02KG;KG;EMBALAGEM;;;;;;
00804;FILME ACEROLA PETRUZ 100G;KG;EMBALAGEM;;;;;;
00805;FILME ACEROLA PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00806;FILME BACURI PETRUZ 100G;KG;EMBALAGEM;;;;;;
00807;FILME BACURI PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00808;FILME CAJU PETRUZ 100G;KG;EMBALAGEM;;;;;;
00809;FILME CAJU PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00810;FILME CUPUACU PETRUZ 100G;KG;EMBALAGEM;;;;;;
00811;FILME CUPUACU PETRUZ 1KG;KG;EMBALAGEM;;;;;;
00812;FILME GOIABA PETRUZ 100G;KG;EMBALAGEM;;;;;;
